lead_time,no_of_special_requests,avg_price_per_room,market_segment_type,arrival_month,arrival_date,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
88,1,138.0,3.0,5,3,3,0,1.0,0.0,Not_Canceled
33,0,95.4,4.0,3,13,2,2,0.0,3.0,Not_Canceled
20,0,80.0,3.0,3,9,3,0,0.0,0.0,Not_Canceled
205,0,86.63,4.0,7,21,2,0,0.0,1.0,Canceled
56,0,141.3,4.0,6,9,1,0,0.0,3.0,Canceled
145,0,177.75,4.0,10,22,1,1,1.0,0.0,Canceled
193,1,90.95,4.0,7,25,3,1,0.0,0.0,Not_Canceled
9,1,83.0,4.0,1,17,4,2,0.0,0.0,Not_Canceled
8,0,177.5,4.0,12,3,1,1,0.0,5.0,Not_Canceled
3,0,70.0,3.0,4,18,1,1,0.0,0.0,Not_Canceled
195,0,174.3,4.0,8,26,2,1,0.0,5.0,Canceled
175,0,126.9,4.0,9,18,0,2,0.0,0.0,Canceled
117,2,136.85,4.0,7,8,3,2,0.0,3.0,Not_Canceled
72,0,120.67,4.0,12,30,3,0,0.0,3.0,Not_Canceled
96,0,138.0,3.0,9,28,1,1,1.0,4.0,Canceled
56,2,126.0,4.0,11,2,3,0,0.0,0.0,Not_Canceled
32,0,159.3,4.0,3,24,3,0,0.0,3.0,Canceled
0,1,107.0,4.0,10,31,1,0,0.0,0.0,Not_Canceled
0,0,106.0,4.0,2,13,1,0,0.0,3.0,Not_Canceled
118,1,109.65,4.0,5,11,4,0,0.0,0.0,Not_Canceled
87,0,72.25,4.0,4,3,2,2,3.0,0.0,Canceled
11,0,87.0,3.0,2,14,1,2,0.0,0.0,Not_Canceled
165,1,99.45,4.0,7,8,2,2,0.0,0.0,Not_Canceled
5,0,110.0,2.0,10,1,1,0,0.0,0.0,Canceled
2,1,108.0,4.0,12,24,1,0,0.0,3.0,Not_Canceled
43,0,107.1,4.0,4,2,1,1,0.0,0.0,Canceled
64,0,131.14,4.0,9,4,5,2,0.0,3.0,Canceled
21,0,116.1,4.0,10,4,3,0,3.0,0.0,Canceled
24,1,117.67,4.0,9,17,3,0,0.0,0.0,Not_Canceled
55,2,142.2,4.0,10,18,2,0,0.0,0.0,Not_Canceled
59,0,82.45,4.0,3,10,3,1,0.0,3.0,Canceled
8,0,6.0,4.0,1,28,2,0,0.0,0.0,Not_Canceled
1,1,169.0,4.0,9,15,1,0,0.0,0.0,Not_Canceled
91,1,105.3,4.0,7,23,3,2,0.0,0.0,Not_Canceled
1,1,109.0,4.0,2,12,1,0,0.0,0.0,Not_Canceled
144,0,103.5,4.0,8,15,2,1,3.0,0.0,Canceled
23,2,139.0,4.0,9,25,3,2,0.0,0.0,Not_Canceled
39,0,88.0,4.0,11,22,2,0,3.0,0.0,Not_Canceled
109,1,127.8,4.0,8,9,5,0,0.0,3.0,Not_Canceled
0,0,181.0,4.0,11,23,1,0,0.0,5.0,Canceled
135,0,99.45,4.0,7,23,2,2,0.0,0.0,Canceled
22,0,149.33,4.0,6,2,3,0,0.0,3.0,Canceled
15,0,154.33,4.0,4,15,2,1,0.0,3.0,Canceled
6,0,125.0,4.0,5,31,3,0,0.0,0.0,Canceled
118,1,58.9,4.0,8,26,4,0,0.0,0.0,Canceled
112,1,146.7,4.0,8,8,4,1,0.0,3.0,Not_Canceled
95,0,96.3,4.0,4,18,2,1,0.0,0.0,Canceled
1,0,124.0,4.0,8,11,1,0,0.0,0.0,Not_Canceled
39,2,145.1,4.0,8,17,1,0,3.0,0.0,Not_Canceled
3,1,0.0,1.0,8,2,0,1,0.0,0.0,Not_Canceled
139,0,103.05,4.0,8,22,3,1,0.0,0.0,Canceled
81,1,103.5,4.0,7,3,1,2,3.0,0.0,Canceled
167,1,80.75,4.0,7,6,4,0,3.0,0.0,Not_Canceled
73,1,129.96,4.0,5,25,4,1,0.0,3.0,Not_Canceled
9,2,99.88,4.0,12,9,2,2,0.0,3.0,Not_Canceled
4,0,111.2,3.0,9,20,0,2,0.0,0.0,Not_Canceled
49,1,89.3,4.0,3,2,3,0,0.0,3.0,Not_Canceled
2,3,123.5,4.0,8,21,2,0,0.0,0.0,Not_Canceled
5,0,95.0,2.0,4,6,1,0,0.0,0.0,Not_Canceled
225,1,129.63,4.0,10,31,3,1,1.0,3.0,Canceled
74,0,118.8,4.0,10,9,1,2,0.0,0.0,Canceled
2,3,169.0,4.0,3,23,2,0,0.0,3.0,Not_Canceled
55,1,101.38,4.0,12,8,3,0,0.0,3.0,Not_Canceled
6,2,67.0,2.0,12,8,1,0,0.0,0.0,Not_Canceled
57,1,94.5,4.0,10,22,1,0,0.0,0.0,Not_Canceled
276,0,106.0,2.0,11,28,2,1,0.0,4.0,Canceled
81,1,97.75,4.0,3,23,4,1,0.0,3.0,Canceled
22,0,124.0,4.0,9,19,1,1,0.0,0.0,Not_Canceled
139,0,151.2,4.0,10,8,1,2,0.0,3.0,Canceled
16,0,130.33,4.0,3,3,3,0,0.0,3.0,Canceled
95,2,90.95,4.0,4,25,3,1,0.0,0.0,Not_Canceled
91,0,159.3,4.0,8,21,0,2,0.0,3.0,Not_Canceled
24,1,0.0,4.0,9,11,0,1,3.0,0.0,Not_Canceled
86,1,85.5,4.0,4,27,1,0,0.0,0.0,Not_Canceled
21,1,139.0,4.0,9,25,1,2,0.0,0.0,Not_Canceled
275,0,62.8,4.0,6,4,1,1,0.0,0.0,Canceled
6,0,63.0,3.0,2,15,2,1,0.0,0.0,Not_Canceled
34,1,135.9,4.0,7,9,2,2,0.0,0.0,Not_Canceled
188,2,72.76,3.0,7,22,2,2,0.0,0.0,Not_Canceled
36,1,67.5,3.0,8,28,1,2,0.0,0.0,Not_Canceled
69,0,69.6,4.0,3,10,3,1,0.0,0.0,Not_Canceled
215,1,94.35,4.0,12,30,2,2,0.0,0.0,Canceled
3,1,104.0,4.0,4,8,2,0,3.0,0.0,Not_Canceled
89,1,159.3,4.0,4,30,1,2,0.0,3.0,Canceled
51,2,139.5,4.0,10,17,5,1,0.0,3.0,Canceled
0,0,74.67,4.0,1,2,1,0,0.0,0.0,Not_Canceled
59,0,121.5,4.0,5,19,1,0,0.0,0.0,Canceled
6,1,75.0,3.0,3,20,0,2,0.0,0.0,Not_Canceled
60,0,177.3,4.0,7,14,2,0,0.0,5.0,Canceled
127,1,91.48,4.0,10,8,1,0,0.0,0.0,Not_Canceled
52,0,94.5,4.0,4,21,2,0,3.0,0.0,Canceled
21,1,88.0,4.0,11,28,0,1,3.0,0.0,Canceled
56,0,162.9,4.0,7,3,1,2,1.0,0.0,Canceled
41,0,85.5,3.0,9,11,1,2,0.0,0.0,Not_Canceled
131,0,81.3,4.0,4,16,1,2,0.0,0.0,Not_Canceled
54,0,69.0,3.0,11,16,2,1,0.0,3.0,Not_Canceled
24,1,119.0,4.0,9,25,2,2,3.0,0.0,Canceled
19,1,191.0,4.0,8,14,1,2,0.0,3.0,Canceled
4,1,84.0,4.0,1,22,2,0,3.0,0.0,Not_Canceled
63,0,140.4,4.0,5,10,3,0,0.0,3.0,Canceled
10,2,81.0,4.0,8,18,3,0,3.0,0.0,Not_Canceled
47,1,86.4,4.0,9,5,1,1,0.0,0.0,Not_Canceled
20,2,67.22,4.0,2,24,2,0,0.0,0.0,Not_Canceled
52,1,140.4,4.0,5,4,1,0,0.0,3.0,Not_Canceled
159,2,113.4,4.0,9,29,3,1,3.0,0.0,Canceled
9,0,56.0,2.0,3,2,2,0,0.0,0.0,Not_Canceled
140,0,116.45,4.0,7,4,5,1,0.0,3.0,Canceled
20,0,81.0,4.0,1,22,1,0,0.0,0.0,Not_Canceled
120,0,84.15,4.0,3,27,3,2,0.0,0.0,Canceled
20,1,109.0,4.0,6,8,1,0,3.0,0.0,Not_Canceled
10,0,97.0,4.0,12,11,1,0,0.0,3.0,Not_Canceled
0,0,101.0,4.0,3,21,0,1,0.0,0.0,Canceled
8,0,65.0,2.0,10,23,2,0,0.0,0.0,Not_Canceled
32,0,108.3,4.0,4,13,3,0,0.0,0.0,Canceled
108,1,146.7,4.0,8,6,5,2,0.0,3.0,Not_Canceled
77,0,75.0,3.0,12,8,3,0,0.0,0.0,Not_Canceled
5,2,149.0,4.0,9,19,0,1,3.0,0.0,Not_Canceled
52,0,60.0,3.0,11,9,3,1,0.0,3.0,Not_Canceled
82,2,83.87,4.0,4,3,4,2,0.0,0.0,Not_Canceled
55,0,79.0,2.0,7,7,1,0,0.0,0.0,Canceled
142,1,95.79,4.0,8,21,3,2,0.0,1.0,Not_Canceled
109,3,146.7,4.0,8,6,1,0,0.0,3.0,Not_Canceled
58,0,116.1,4.0,6,18,1,1,3.0,0.0,Canceled
231,0,64.6,3.0,12,27,5,0,0.0,0.0,Not_Canceled
39,0,89.1,4.0,6,27,0,1,3.0,0.0,Canceled
117,0,79.2,4.0,11,13,0,2,3.0,0.0,Not_Canceled
42,2,109.0,4.0,10,29,1,0,3.0,0.0,Not_Canceled
96,1,87.55,4.0,4,8,3,2,0.0,0.0,Not_Canceled
53,2,137.7,4.0,7,18,1,1,0.0,3.0,Not_Canceled
183,1,105.3,4.0,8,8,1,1,0.0,0.0,Canceled
26,0,127.2,4.0,9,5,3,1,0.0,0.0,Canceled
75,2,79.2,4.0,11,2,4,1,3.0,0.0,Not_Canceled
61,1,98.25,4.0,9,15,1,0,0.0,0.0,Not_Canceled
49,2,118.8,4.0,10,3,3,1,0.0,0.0,Not_Canceled
45,1,101.7,4.0,6,20,2,1,0.0,0.0,Canceled
0,0,142.2,4.0,5,20,1,0,3.0,3.0,Not_Canceled
166,2,73.6,4.0,4,21,3,0,0.0,1.0,Not_Canceled
184,1,173.25,4.0,8,2,5,2,1.0,0.0,Canceled
2,0,131.0,4.0,4,23,1,0,0.0,0.0,Not_Canceled
7,0,83.58,4.0,12,26,1,2,0.0,1.0,Not_Canceled
166,2,102.6,4.0,9,30,2,2,3.0,0.0,Canceled
2,1,102.0,4.0,2,6,1,1,0.0,0.0,Not_Canceled
16,1,129.0,4.0,9,27,2,0,3.0,0.0,Not_Canceled
9,2,159.0,4.0,8,15,2,1,0.0,0.0,Not_Canceled
254,0,106.0,4.0,7,9,1,0,0.0,0.0,Canceled
1,2,88.0,4.0,8,8,5,2,0.0,0.0,Not_Canceled
34,0,85.5,3.0,9,18,1,2,0.0,0.0,Not_Canceled
11,1,138.5,4.0,8,2,1,0,0.0,0.0,Not_Canceled
1,1,161.0,4.0,12,26,1,1,0.0,3.0,Not_Canceled
173,2,104.4,4.0,10,25,3,0,0.0,3.0,Canceled
44,0,75.0,2.0,7,8,1,0,0.0,0.0,Not_Canceled
89,1,85.0,3.0,9,4,5,2,0.0,0.0,Not_Canceled
8,0,142.67,4.0,12,29,3,0,0.0,3.0,Not_Canceled
66,0,168.3,4.0,8,6,2,2,0.0,3.0,Canceled
29,0,88.4,4.0,12,19,3,1,0.0,0.0,Not_Canceled
0,1,111.0,4.0,6,13,1,1,0.0,0.0,Not_Canceled
27,0,129.5,3.0,12,31,3,1,0.0,0.0,Not_Canceled
95,1,104.4,4.0,10,27,3,0,0.0,3.0,Not_Canceled
127,0,89.25,4.0,7,25,3,1,3.0,0.0,Canceled
275,0,91.69,4.0,10,9,5,3,3.0,0.0,Canceled
0,0,158.0,4.0,8,9,1,0,3.0,0.0,Not_Canceled
80,0,100.0,3.0,4,10,1,2,1.0,0.0,Canceled
31,1,96.75,4.0,4,17,2,2,0.0,0.0,Not_Canceled
16,0,129.33,4.0,4,5,3,0,0.0,3.0,Canceled
84,1,82.45,4.0,3,28,4,1,0.0,0.0,Not_Canceled
87,1,78.5,4.0,2,12,2,1,3.0,0.0,Not_Canceled
109,1,76.5,4.0,4,18,3,1,3.0,0.0,Canceled
12,0,68.8,3.0,8,16,3,2,0.0,0.0,Not_Canceled
62,3,88.4,4.0,11,16,4,0,0.0,0.0,Not_Canceled
155,0,89.76,3.0,10,21,2,0,0.0,0.0,Canceled
196,1,96.05,4.0,9,4,3,2,3.0,0.0,Not_Canceled
15,1,95.48,4.0,9,17,1,0,0.0,0.0,Not_Canceled
142,2,119.0,4.0,7,5,5,0,0.0,3.0,Not_Canceled
173,0,122.4,4.0,12,16,2,0,0.0,3.0,Not_Canceled
178,0,72.25,3.0,8,18,5,2,0.0,0.0,Canceled
193,1,72.25,3.0,7,31,2,2,0.0,0.0,Not_Canceled
53,1,98.6,4.0,3,29,4,0,0.0,3.0,Not_Canceled
6,0,89.0,2.0,10,3,0,1,0.0,0.0,Not_Canceled
31,0,72.9,4.0,2,8,2,1,0.0,0.0,Canceled
169,1,105.3,4.0,8,22,1,1,0.0,0.0,Canceled
123,0,89.92,4.0,3,30,3,0,0.0,1.0,Canceled
0,0,65.0,2.0,9,7,2,1,0.0,0.0,Not_Canceled
112,1,105.3,4.0,7,18,2,1,0.0,0.0,Not_Canceled
18,0,68.0,3.0,11,20,5,2,0.0,0.0,Not_Canceled
189,2,109.77,4.0,8,20,5,2,0.0,3.0,Canceled
8,0,94.24,4.0,10,29,3,1,3.0,0.0,Not_Canceled
76,0,72.25,3.0,7,6,4,0,0.0,0.0,Not_Canceled
84,0,65.0,2.0,9,7,1,0,0.0,0.0,Not_Canceled
1,1,95.0,2.0,10,14,1,0,0.0,0.0,Not_Canceled
67,0,85.5,4.0,3,19,1,2,3.0,0.0,Canceled
30,1,78.6,4.0,1,31,0,2,0.0,3.0,Not_Canceled
129,0,47.2,3.0,12,29,5,0,0.0,0.0,Not_Canceled
159,1,65.0,3.0,4,9,1,1,0.0,0.0,Not_Canceled
224,1,65.0,3.0,10,2,2,1,0.0,1.0,Not_Canceled
4,0,104.0,4.0,4,16,1,1,3.0,0.0,Not_Canceled
61,4,88.4,4.0,12,22,5,2,0.0,0.0,Not_Canceled
63,1,149.4,4.0,9,8,3,0,0.0,3.0,Canceled
1,1,110.8,4.0,8,26,4,1,0.0,0.0,Not_Canceled
26,1,57.59,4.0,11,17,3,1,3.0,0.0,Not_Canceled
14,1,118.0,3.0,2,25,3,0,0.0,0.0,Not_Canceled
14,0,65.0,2.0,11,29,1,0,0.0,0.0,Not_Canceled
236,1,90.95,4.0,8,22,4,1,0.0,0.0,Canceled
0,0,65.0,2.0,9,21,1,1,0.0,0.0,Not_Canceled
46,0,104.4,4.0,4,1,2,0,0.0,3.0,Canceled
4,2,99.51,4.0,11,19,5,2,0.0,0.0,Not_Canceled
2,0,82.0,3.0,2,10,3,0,0.0,0.0,Not_Canceled
154,0,146.7,4.0,7,9,1,0,0.0,3.0,Canceled
38,0,59.5,3.0,11,10,3,1,3.0,0.0,Not_Canceled
17,0,97.0,4.0,3,11,2,1,3.0,0.0,Canceled
1,1,119.0,4.0,5,31,2,0,3.0,0.0,Not_Canceled
198,0,99.95,4.0,8,8,4,1,0.0,0.0,Canceled
23,2,117.0,4.0,10,8,2,0,0.0,3.0,Not_Canceled
153,0,89.76,3.0,10,19,4,0,0.0,0.0,Canceled
10,0,114.0,4.0,9,22,2,0,3.0,0.0,Not_Canceled
71,0,85.5,4.0,4,18,1,1,3.0,0.0,Not_Canceled
87,1,111.6,4.0,4,30,1,1,3.0,0.0,Canceled
198,0,72.25,3.0,8,3,4,2,0.0,0.0,Not_Canceled
56,0,123.84,4.0,10,5,4,0,0.0,4.0,Not_Canceled
121,0,95.81,4.0,6,26,5,2,0.0,0.0,Not_Canceled
151,2,126.9,4.0,9,4,5,2,0.0,0.0,Canceled
29,0,120.35,4.0,4,19,4,0,0.0,3.0,Canceled
1,0,12.0,4.0,8,22,2,2,0.0,0.0,Canceled
86,1,107.1,4.0,8,12,2,0,3.0,0.0,Not_Canceled
44,1,113.7,4.0,10,20,3,0,3.0,0.0,Not_Canceled
47,2,94.5,4.0,10,20,2,0,0.0,0.0,Not_Canceled
148,0,217.11,4.0,7,11,5,2,1.0,5.0,Canceled
23,1,104.0,4.0,11,25,2,1,0.0,0.0,Not_Canceled
1,1,111.0,4.0,11,19,1,0,0.0,0.0,Not_Canceled
83,2,105.3,4.0,4,25,2,1,0.0,0.0,Not_Canceled
10,0,107.0,2.0,3,7,3,1,0.0,4.0,Not_Canceled
230,0,109.65,4.0,9,18,2,2,3.0,0.0,Canceled
38,0,122.45,4.0,12,17,6,2,0.0,0.0,Canceled
47,0,71.52,4.0,2,20,1,0,0.0,1.0,Not_Canceled
91,1,127.65,4.0,10,20,4,2,0.0,3.0,Canceled
83,0,168.3,4.0,3,25,2,1,0.0,5.0,Canceled
14,0,135.2,4.0,9,15,1,0,0.0,0.0,Not_Canceled
248,0,72.25,3.0,8,2,6,2,0.0,0.0,Not_Canceled
63,0,132.3,4.0,10,20,2,0,0.0,3.0,Canceled
59,2,104.0,4.0,11,24,3,0,0.0,0.0,Not_Canceled
2,0,75.0,3.0,9,20,3,2,0.0,3.0,Not_Canceled
49,2,88.4,4.0,11,14,4,1,0.0,0.0,Not_Canceled
151,2,91.48,4.0,10,6,3,2,0.0,0.0,Not_Canceled
29,0,84.65,4.0,2,5,2,0,0.0,0.0,Not_Canceled
79,2,109.8,4.0,12,15,3,0,0.0,0.0,Not_Canceled
84,0,122.0,4.0,12,22,1,0,0.0,0.0,Canceled
175,2,85.5,4.0,7,23,1,1,3.0,0.0,Not_Canceled
94,1,76.5,4.0,7,14,3,0,0.0,0.0,Canceled
62,2,89.25,4.0,10,8,3,1,0.0,0.0,Not_Canceled
21,0,91.0,4.0,2,6,1,0,0.0,0.0,Canceled
2,0,88.0,2.0,3,9,1,0,0.0,0.0,Canceled
2,1,85.0,4.0,6,14,1,0,0.0,0.0,Not_Canceled
26,0,126.0,4.0,4,13,1,0,0.0,3.0,Not_Canceled
28,2,100.7,4.0,3,9,4,0,0.0,3.0,Not_Canceled
12,0,183.67,4.0,3,24,3,0,0.0,3.0,Canceled
95,0,79.56,3.0,7,15,2,2,0.0,0.0,Not_Canceled
2,3,225.0,4.0,10,5,2,0,0.0,4.0,Not_Canceled
3,0,105.0,4.0,2,21,0,2,0.0,3.0,Not_Canceled
141,1,96.9,3.0,7,12,5,2,1.0,0.0,Not_Canceled
13,1,90.0,4.0,8,25,2,0,0.0,0.0,Not_Canceled
0,0,112.2,3.0,9,30,1,0,1.0,0.0,Not_Canceled
8,1,110.0,4.0,10,30,0,2,3.0,0.0,Not_Canceled
0,0,65.0,2.0,2,16,1,0,0.0,0.0,Not_Canceled
21,0,88.4,4.0,12,19,3,1,0.0,0.0,Not_Canceled
7,1,111.0,4.0,11,14,2,1,0.0,0.0,Not_Canceled
30,0,85.0,3.0,10,16,1,2,0.0,0.0,Not_Canceled
113,0,121.5,4.0,7,12,3,0,0.0,0.0,Not_Canceled
77,2,132.6,4.0,5,10,4,0,0.0,3.0,Not_Canceled
238,0,80.0,3.0,10,13,1,0,0.0,0.0,Not_Canceled
141,1,114.3,4.0,5,23,2,1,0.0,3.0,Canceled
167,1,60.0,3.0,3,13,2,2,0.0,3.0,Not_Canceled
23,2,96.0,4.0,9,2,2,0,3.0,0.0,Not_Canceled
28,2,164.5,4.0,10,7,4,2,0.0,3.0,Not_Canceled
144,0,92.55,4.0,5,25,4,1,0.0,3.0,Not_Canceled
134,2,135.15,4.0,6,15,4,2,0.0,0.0,Not_Canceled
109,0,75.76,4.0,4,16,2,2,0.0,1.0,Not_Canceled
10,2,128.5,4.0,9,11,2,0,0.0,0.0,Not_Canceled
0,0,56.0,4.0,12,20,1,0,3.0,0.0,Not_Canceled
72,1,78.2,4.0,3,16,4,0,0.0,0.0,Canceled
63,0,117.0,4.0,4,3,0,2,0.0,0.0,Not_Canceled
5,1,124.0,4.0,9,5,1,0,0.0,0.0,Canceled
7,0,169.0,3.0,5,18,1,0,3.0,4.0,Not_Canceled
52,2,108.11,4.0,5,27,2,1,0.0,3.0,Not_Canceled
44,0,157.5,4.0,8,31,3,0,1.0,3.0,Canceled
103,1,137.7,4.0,8,2,2,0,0.0,3.0,Not_Canceled
133,0,114.3,4.0,5,17,3,0,0.0,3.0,Not_Canceled
23,2,95.0,3.0,4,2,2,2,0.0,0.0,Not_Canceled
24,0,85.5,3.0,9,26,0,1,0.0,0.0,Not_Canceled
199,0,73.45,4.0,6,3,2,0,3.0,0.0,Canceled
3,1,116.0,4.0,4,13,2,0,0.0,0.0,Not_Canceled
2,0,75.0,2.0,12,22,1,0,0.0,0.0,Not_Canceled
45,2,96.3,4.0,10,30,2,0,0.0,0.0,Not_Canceled
9,0,65.0,2.0,11,23,2,0,0.0,0.0,Not_Canceled
65,1,76.5,4.0,7,11,1,2,0.0,0.0,Canceled
18,1,221.0,4.0,5,6,2,0,0.0,5.0,Not_Canceled
10,2,174.0,4.0,12,11,0,1,0.0,5.0,Not_Canceled
38,0,159.3,4.0,5,10,3,0,0.0,3.0,Canceled
180,0,70.0,4.0,10,16,1,0,0.0,0.0,Canceled
113,1,90.0,4.0,12,8,1,0,0.0,0.0,Canceled
115,1,132.6,4.0,5,29,4,2,0.0,3.0,Canceled
14,1,153.38,4.0,9,14,4,1,0.0,5.0,Not_Canceled
11,0,95.0,3.0,9,11,1,2,0.0,0.0,Not_Canceled
0,0,126.0,4.0,10,11,0,1,0.0,0.0,Not_Canceled
2,1,89.0,4.0,4,16,1,0,3.0,0.0,Not_Canceled
26,1,117.67,4.0,9,17,3,0,0.0,0.0,Canceled
34,0,159.3,4.0,4,30,1,1,0.0,3.0,Canceled
150,3,96.3,4.0,4,22,2,1,0.0,0.0,Not_Canceled
23,0,156.5,4.0,9,15,3,1,0.0,0.0,Canceled
191,2,131.75,4.0,8,8,3,1,1.0,0.0,Canceled
0,0,65.0,3.0,12,21,1,0,0.0,0.0,Not_Canceled
10,2,100.38,4.0,11,22,5,1,0.0,0.0,Not_Canceled
104,3,146.7,4.0,7,5,1,0,0.0,3.0,Not_Canceled
39,0,40.67,3.0,3,4,2,1,0.0,0.0,Not_Canceled
181,2,118.0,4.0,5,23,2,1,0.0,0.0,Canceled
140,2,140.98,4.0,12,27,3,0,0.0,5.0,Not_Canceled
59,2,123.3,4.0,9,1,3,0,0.0,3.0,Not_Canceled
106,0,62.0,3.0,1,5,4,0,0.0,3.0,Not_Canceled
63,0,68.0,4.0,7,2,3,1,0.0,0.0,Canceled
21,2,89.0,4.0,9,12,0,1,3.0,0.0,Not_Canceled
33,1,97.71,4.0,5,9,4,1,0.0,0.0,Not_Canceled
1,2,145.0,4.0,10,9,2,2,0.0,0.0,Not_Canceled
1,0,129.56,4.0,9,22,1,0,3.0,0.0,Not_Canceled
22,2,156.7,4.0,4,26,4,0,0.0,5.0,Not_Canceled
146,2,106.25,4.0,6,28,5,0,0.0,0.0,Not_Canceled
34,0,60.0,3.0,11,1,1,2,0.0,3.0,Not_Canceled
150,0,71.0,3.0,1,18,2,1,0.0,0.0,Not_Canceled
109,1,82.45,4.0,4,3,2,2,0.0,0.0,Not_Canceled
8,0,85.0,3.0,10,20,5,1,0.0,3.0,Not_Canceled
1,2,184.5,4.0,8,16,1,0,3.0,0.0,Not_Canceled
85,0,162.3,4.0,8,19,2,1,0.0,3.0,Canceled
25,1,152.1,4.0,7,23,3,2,0.0,0.0,Canceled
71,2,79.2,4.0,11,3,1,0,3.0,0.0,Not_Canceled
14,2,126.0,4.0,10,19,1,1,0.0,0.0,Not_Canceled
7,2,0.0,1.0,8,3,2,1,0.0,5.0,Not_Canceled
4,1,176.0,4.0,5,27,1,0,0.0,3.0,Not_Canceled
33,0,67.5,4.0,2,15,0,1,3.0,0.0,Canceled
19,0,119.0,4.0,12,31,2,2,0.0,3.0,Not_Canceled
32,1,135.9,4.0,7,3,2,2,0.0,0.0,Not_Canceled
11,0,85.0,3.0,7,25,4,1,0.0,0.0,Not_Canceled
78,1,99.15,4.0,3,25,2,2,0.0,4.0,Not_Canceled
119,2,76.5,4.0,8,13,3,0,0.0,0.0,Not_Canceled
110,1,108.0,4.0,10,12,1,0,3.0,0.0,Canceled
17,0,87.0,3.0,2,21,1,2,0.0,0.0,Not_Canceled
10,3,157.0,4.0,4,25,2,1,0.0,3.0,Not_Canceled
13,0,72.22,4.0,12,6,1,2,0.0,3.0,Not_Canceled
1,1,119.0,2.0,6,2,2,0,0.0,0.0,Not_Canceled
39,0,89.1,4.0,6,26,0,2,3.0,0.0,Canceled
51,1,125.8,4.0,3,21,3,1,1.0,0.0,Canceled
126,0,86.36,4.0,5,2,3,1,0.0,3.0,Not_Canceled
148,1,115.2,4.0,6,1,2,0,0.0,3.0,Canceled
126,2,130.05,4.0,7,23,3,2,0.0,3.0,Not_Canceled
12,0,61.0,3.0,1,16,2,2,0.0,0.0,Not_Canceled
9,2,128.5,4.0,9,11,2,0,0.0,0.0,Not_Canceled
0,0,80.0,4.0,5,6,1,0,0.0,0.0,Not_Canceled
178,1,93.08,4.0,8,24,4,0,0.0,0.0,Not_Canceled
58,1,80.3,4.0,3,4,2,0,0.0,0.0,Not_Canceled
7,0,95.0,2.0,5,9,2,1,0.0,0.0,Not_Canceled
42,1,80.76,4.0,3,6,2,2,0.0,0.0,Canceled
145,2,76.5,4.0,7,4,1,2,0.0,0.0,Canceled
57,1,96.6,4.0,12,8,3,0,0.0,0.0,Not_Canceled
167,0,77.03,4.0,7,3,0,2,0.0,0.0,Canceled
132,0,70.56,4.0,8,30,2,0,0.0,1.0,Not_Canceled
175,2,93.5,4.0,9,11,2,2,0.0,0.0,Not_Canceled
149,1,90.0,4.0,3,19,1,1,0.0,0.0,Not_Canceled
100,0,143.7,4.0,7,21,3,0,0.0,3.0,Canceled
35,0,71.1,4.0,3,14,2,1,3.0,0.0,Canceled
27,0,139.0,4.0,9,16,2,0,3.0,0.0,Not_Canceled
6,0,96.25,4.0,12,7,0,1,0.0,1.0,Not_Canceled
42,0,93.6,4.0,3,22,1,0,0.0,0.0,Not_Canceled
62,0,118.8,4.0,4,9,1,2,0.0,3.0,Not_Canceled
58,1,95.48,4.0,10,18,4,0,0.0,3.0,Not_Canceled
49,1,108.8,4.0,3,21,3,1,0.0,0.0,Canceled
4,1,69.0,2.0,3,15,3,0,0.0,0.0,Not_Canceled
49,2,106.2,4.0,12,5,1,2,0.0,0.0,Not_Canceled
32,1,80.3,4.0,2,5,3,2,0.0,0.0,Not_Canceled
172,0,80.75,3.0,9,16,2,2,0.0,0.0,Not_Canceled
2,0,65.0,2.0,5,15,1,2,0.0,0.0,Not_Canceled
11,2,90.0,4.0,8,29,1,0,0.0,0.0,Not_Canceled
52,2,93.6,4.0,11,19,1,2,0.0,0.0,Not_Canceled
41,0,80.3,4.0,2,12,2,1,0.0,0.0,Not_Canceled
149,1,120.0,4.0,6,10,2,1,0.0,0.0,Not_Canceled
10,1,66.0,2.0,3,5,2,2,0.0,0.0,Not_Canceled
56,0,67.32,4.0,12,16,2,2,3.0,0.0,Canceled
49,0,108.0,4.0,10,3,3,1,3.0,0.0,Canceled
100,0,105.0,3.0,12,23,2,0,0.0,0.0,Not_Canceled
104,0,68.42,4.0,4,19,3,0,0.0,0.0,Not_Canceled
190,1,121.5,4.0,8,8,2,1,0.0,0.0,Canceled
81,1,76.5,4.0,7,26,1,2,0.0,0.0,Canceled
40,0,40.67,3.0,2,6,1,2,0.0,0.0,Not_Canceled
121,1,129.0,4.0,5,2,0,1,3.0,0.0,Not_Canceled
86,0,75.0,3.0,12,18,1,2,0.0,0.0,Not_Canceled
82,0,80.75,3.0,5,17,2,0,0.0,0.0,Not_Canceled
13,1,146.0,4.0,6,28,1,0,0.0,3.0,Not_Canceled
24,3,89.0,4.0,9,12,0,1,3.0,0.0,Not_Canceled
6,0,110.0,0.0,10,26,4,1,0.0,3.0,Not_Canceled
12,0,85.0,3.0,7,17,0,1,0.0,0.0,Canceled
192,1,121.5,4.0,8,3,2,0,0.0,0.0,Canceled
110,1,85.87,4.0,11,2,3,0,3.0,0.0,Not_Canceled
